id,suite,source_task,source_task_short,source_class,cf_class,dest,generated_language,llm_language_quality,llm_grounding_challenge,llm_physical_plausibility,llm_reasoning,llm_overall,llm_tier
131,libero_90,LIVING_ROOM_SCENE4_stack_the_left_bowl_on_the_right_bowl_and_place_them_in_the_tray,LIVING_ROOM_SCENE4_stack_the_left_bowl_on_the_righ,akita_black_bowl,new_salad_dressing,akita black bowl,Put the salad dressing on the black bowl,5,5,4,"The instruction is natural and creates a strong grounding test by swapping a bowl for a bottle, with placement being feasible but slightly unusual.",92.5,A
155,libero_90,STUDY_SCENE3_pick_up_the_red_mug_and_place_it_to_the_right_of_the_caddy,STUDY_SCENE3_pick_up_the_red_mug_and_place_it_to_t,red_coffee_mug,black_book,study table desk caddy right region,Put the black book on the study table,4,5,5,"The instruction is clear but uses 'study table' for a kitchen counter, the mug-to-book swap creates a strong grounding challenge, and placing a small book on the table is physically feasible.",92.5,A
84,libero_90,KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_shelf,KITCHEN_SCENE9_put_the_frying_pan_on_the_cabinet_s,chefmate_8_frypan,white_bowl,wooden two layer shelf,Put the white bowl in the wooden two layer shelf,4,5,5,The instruction is clear but slightly technical; swapping frying pan for bowl strongly tests language understanding; the bowl fits in the cabinet per fixture rules.,92.5,A
134,libero_90,LIVING_ROOM_SCENE4_stack_the_right_bowl_on_the_left_bowl_and_place_them_in_the_tray,LIVING_ROOM_SCENE4_stack_the_right_bowl_on_the_lef,akita_black_bowl,chocolate_pudding,akita black bowl,Put the chocolate pudding on the black bowl,5,5,4,"The instruction is natural and tests genuine language understanding by swapping from a bowl to a food item, with placement on the bowl being feasible but slightly unusual.",92.5,A
40,libero_goal,push_the_plate_to_the_front_of_the_stove,push_the_plate_to_the_front_of_the_stove,plate,wine_bottle,main table stove front region,Put the wine bottle on the stove,5,5,4,"The CF instruction is natural, tests language understanding by swapping plate to wine bottle, and placing a bottle on the stove is feasible per reference.",92.5,A
43,libero_goal,put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,akita_black_bowl,wine_bottle,flat stove,Put the wine bottle on the flat stove,5,5,4,Natural instruction with strong grounding challenge; wine bottle placement on flat stove is feasible but slightly unusual.,92.5,A
48,libero_goal,put_the_wine_bottle_on_the_rack,put_the_wine_bottle_on_the_rack,wine_bottle,cream_cheese,wine rack,Put the cream cheese on the wine rack,5,5,4,"Natural instruction with strong grounding challenge between distinct objects, placement on wine rack is feasible but slightly unusual.",92.5,A
49,libero_goal,put_the_wine_bottle_on_the_rack,put_the_wine_bottle_on_the_rack,wine_bottle,plate,wine rack,Put the plate on the wine rack,5,5,4,"The natural instruction swaps from wine bottle to plate, creating a strong grounding challenge while remaining physically feasible on the wine rack.",92.5,A
74,libero_90,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,KITCHEN_SCENE3_put_the_moka_pot_on_the_stove,moka_pot,chefmate_8_frypan,flat stove,Put the frying pan on the flat stove,5,5,4,"Natural instruction, highly distinct object swap, and feasible placement per fixture reference.",92.5,A
53,libero_10,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_,moka_pot,chefmate_8_frypan,flat stove,Put the frying pan on the flat stove,5,5,4,"The CF swaps moka pot with frying pan, a distinct category, on a flat stove where pans are feasible but rated pp=4 per reference.",92.5,A
79,libero_90,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawer_of_the_cabinet,KITCHEN_SCENE5_put_the_black_bowl_in_the_top_drawe,akita_black_bowl,ketchup,white cabinet,Put the ketchup in the white cabinet,4,5,5,"The instruction is natural and tests a strong category shift from bowl to bottle, with a physically plausible placement in the cabinet.",92.5,A
33,libero_object,pick_up_the_orange_juice_and_place_it_in_the_basket,pick_up_the_orange_juice_and_place_it_in_the_baske,orange_juice,chocolate_pudding,basket,Put the chocolate pudding in the basket,5,4,5,Natural instruction with a category change to a different food item that is feasible in the basket.,90.0,A
105,libero_90,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_the_basket,LIVING_ROOM_SCENE2_pick_up_the_milk_and_put_it_in_,milk,cream_cheese,basket,Put the cream cheese in the basket,5,4,5,"The instruction is natural and tests meaningful category shift from milk to cream cheese, with the basket destination being fully plausible for the object.",90.0,A
